i_d,i_q,torque
0,0,0
-9.840554096740561E-05,0.13982099445403562,0.1
-0.000393620994060484,0.2796417811371842,0.2
-0.0008856428498518198,0.41946215228627726,0.30000000000000004
-0.0015744527819592236,0.5592796839848495,0.4
-0.002460049573429046,0.6990964886419647,0.5
-0.003542413487437557,0.8389112159207768,0.6000000000000001
-0.004821525229047552,0.9787234505266939,0.7000000000000001
-0.0062973619985484675,1.118532777263855,0.8
-0.007969897493111944,1.2583387810515578,0.9
-0.009839101908795556,1.3981410469406712,1
-0.011904941942709968,1.5379391601300374,1.1
-0.014167380795534257,1.6777327059828515,1.2000000000000002
-0.01662637817420176,1.8175212700430297,1.3
-0.019281890294912785,1.957304438051547,1.4000000000000001
-0.02213386988638888,2.0970817959627674,1.5
-0.025182266193340297,2.2368529299607363,1.6
-0.02842702498025318,2.376617426475454,1.7000000000000002
-0.03186808853540413,2.51637487219912,1.8
-0.03550539567512345,2.6561248541023494,1.9000000000000001
-0.039338881748300025,2.795866959450358,2
-0.04336847864119164,2.9356007758191116,2.1
-0.047594114782441466,3.075325891111443,2.2
-0.05201571514836445,3.2150418935731313,2.3000000000000003
-0.056633201268461164,3.354748371808949,2.4000000000000004
-0.06144649123125845,3.4944449147986543,2.5
-0.06645549969027087,3.6341311119129602,2.6
-0.07166013787033165,3.7738065529294462,2.7
-0.07706031357411547,3.9134708280484323,2.8000000000000003
-0.08265593118888859,4.053123527908798,2.9000000000000004
-0.08844689169358588,4.192764243603765,3
-0.09443309266599442,4.332392566696622,3.1
-0.10061442829034917,4.472008089236387,3.2
-0.10699078936500683,4.6116104037734456,3.3000000000000003
-0.11356206331051055,4.751199103375096,3.4000000000000004
-0.1203281341777469,4.890773781641068,3.5
-0.1272888826564582,5.030334032718969,3.6
-0.13444418608391828,5.169879451319673,3.7
-0.14179391845390654,5.309409632732642,3.8000000000000003
-0.14933795042584563,5.448924172841191,3.9000000000000004
-0.1570761493342232,5.58842266813769,4
-0.16500837919819844,5.727904715738688,4.1000000000000005
-0.17313450073151415,5.8673699133999815,4.2
-0.18145437135253673,6.006817859531602,4.3
-0.18996784519460874,6.146248153212738,4.4
-0.198674773116565,6.285660394206591,4.5
-0.20757500271349727,6.425054182975138,4.6000000000000005
-0.21666837832774632,6.564429120693842,4.7
-0.22595474106010727,6.703784809266264,4.800000000000001
-0.2354339287812266,6.843120851338606,4.9
-0.24510577614325513,6.982436850314177,5
-0.2549701145916856,7.121732410367776,5.1000000000000005
-0.2650267723774107,7.261007136459982,5.2
-0.275275574569001,7.400260634351376,5.300000000000001
-0.28571634306518234,7.539492510616656,5.4
-0.2963488966074834,7.678702372658687,5.5
-0.3071730507931605,7.817889828722457,5.6000000000000005
-0.31818861808827137,7.957054487908926,5.7
-0.32939540784095556,8.09619596018881,5.800000000000001
-0.34079322629492736,8.235313856416248,5.9
-0.3523818766031397,8.374407788342399,6
-0.3641611588416822,8.513477368628921,6.1000000000000005
-0.3761308700238146,8.652522210861381,6.2
-0.38829080411424144,8.791541929562532,6.300000000000001
-0.4006407520435502,8.930536140205533,6.4
-0.4131805017228274,9.06950445922703,6.5
-0.42590983805845894,9.208446504040172,6.6000000000000005
-0.43882854296714413,9.347361893047488,6.7
-0.45193639539103714,9.486250245653705,6.800000000000001
-0.4652331713130735,9.625111182278415,6.9
-0.47871864377253104,9.763944324368682,7
-0.4923925828806617,9.902749294411494,7.1000000000000005
-0.5062547558365793,10.041525715946165,7.2
-0.5203049269432753,10.180273213576587,7.300000000000001
-0.5345428576237623,10.31899141298336,7.4
-0.5489683064374802,10.45767994093589,7.5
-0.5635810290967527,10.596338425304273,7.6000000000000005
-0.5783807784834636,10.734966495071149,7.7
-0.593367304665847,10.87356378034339,7.800000000000001
-0.6085403549155046,11.012129912363715,7.9
-0.6238996737244733,11.150664523522162,8
-0.6394450028224767,11.289167247367452,8.1
-0.6551760811943836,11.427637718618243,8.200000000000001
-0.6710926450976871,11.566075573174274,8.3
-0.6871944280802538,11.704480448127358,8.4
-0.703481160998102,11.842851981772306,8.5
-0.7199525720333497,11.981189813617682,8.6
-0.7366083867123407,12.119493584396482,8.700000000000001
-0.7534483279238415,12.257762936076665,8.8
-0.7704721159373591,12.395997511871567,8.9
-0.7876794684216364,12.534196956250206,9
-0.8050701004632259,12.672360914947449,9.1
-0.8226437245851912,12.810489034974069,9.200000000000001
-0.840400050765929,12.948580964626668,9.3
-0.8583387864581056,13.086636353497497,9.4
-0.8764596366076916,13.224654852484104,9.5
-0.8947623036731258,13.36263611379893,9.600000000000001
-0.913246487644571,13.500579790978707,9.700000000000001
-0.9319118860632329,13.638485538893768,9.8
-0.9507581940408798,13.77635301375725,9.9
-0.9697851042793815,13.914181873134106,10
-0.988992307090335,14.05197177595007,10.100000000000001
-1.0083794904148178,14.189722382500422,10.200000000000001
-1.0279463398432398,14.32743335445867,10.3
-1.0476925386352534,14.4651043548851,10.4
-1.0676177677397405,14.60273504823518,10.5
-1.0877217058149355,14.74032510036784,10.600000000000001
-1.1080040292485336,14.877874178553652,10.700000000000001
-1.1284644121780047,15.015381951482828,10.8
-1.1491025265108448,15.152848089273132,10.9
-1.169918041944996,15.290272263477656,11
-1.1909106259892823,15.42765414709245,11.100000000000001
-1.2120799439839587,15.564993414564032,11.200000000000001
-1.2334254428969516,15.702288356968255,11.3
-1.2549472008450593,15.839541335261597,11.4
-1.276644675018602,15.976750725036347,11.5
-1.2985175222420295,16.113916206423998,11.600000000000001
-1.320565397272766,16.251037461036066,11.700000000000001
-1.3427879528219933,16.38811417197069,11.8
-1.3651848395755195,16.52514602381909,11.9
-1.3877557062146835,16.662132702671915,12
-1.4105001994372728,16.799073896125453,12.100000000000001
-1.4334179639784992,16.935969293287727,12.200000000000001
-1.4565086426320306,17.072818584784393,12.3
-1.4797718762710304,17.20962146276461,12.4
-1.5032073038692246,17.34637762090668,12.5
-1.52681456252202,17.48308675442367,12.600000000000001
-1.5505932874676418,17.619748560068764,12.700000000000001
-1.5745431121082945,17.756362736140584,12.8
-1.598663668031321,17.892928982488378,12.9
-1.6229545850304419,18.029447000517038,13
-1.6474154911269494,18.16591649319201,13.100000000000001
-1.6720460125909327,18.302337165044058,13.200000000000001
-1.6968457739625435,18.43870872217395,13.3
-1.7218143980732492,18.575030872256924,13.4
-1.7469515060670702,18.711303324547142,13.5
-1.7722567174218895,18.847525789881907,13.600000000000001
-1.797729649970691,18.98369798068582,13.700000000000001
-1.8233699199228326,19.119819610974798,13.8
-1.8491771418853489,19.255890396359938,13.9
-1.8751509288841604,19.3919100540513,14
-1.9012908923854113,19.527878302861517,14.100000000000001
-1.9275966423166366,19.663794863209308,14.200000000000001
-1.9540677870880856,19.799659457122864,14.3
-1.9807039336138672,19.935471808243097,14.4
-2.0075046873332454,20.0712316418268,14.5
-2.0344696522317705,20.206938684749616,14.600000000000001
-2.061598430862503,20.342592665508956,14.700000000000001
-2.0888906243671386,20.47819331422674,14.8
-2.116345832497167,20.61374036265208,14.9
-2.1439636536349482,20.749233544163758,15
-2.171743684814828,20.884672593772645,15.100000000000001
-2.1996855217441507,21.020057248123976,15.200000000000001
-2.2277887588243317,21.155387245499533,15.3
-2.2560529891717778,21.290662325819667,15.4
-2.2844778046388825,21.42588223064523,15.5
-2.3130627958349237,21.561046703179347,15.600000000000001
-2.341807552146946,21.69615548826918,15.700000000000001
-2.3707116617605735,21.83120833240744,15.8
-2.399774711680827,21.966204983733856,15.9
-2.428996287752831,22.101145192036537,16
-2.4583759746825464,22.236028708753185,16.1
-2.4879133560574047,22.37085528697221,16.2
-2.5176080143668855,22.505624681433737,16.3
-2.547459531023115,22.6403366485305,16.400000000000002
-2.577467486381302,22.774990946308588,16.5
-2.6076314597601993,22.909587334468185,16.6
-2.6379510294624993,23.04412557436404,16.7
-2.6684257727951106,23.178605429005984,16.8
-2.6990552660894522,23.313026663059233,16.900000000000002
-2.729839084721661,23.447389042844637,17
-2.7607768031326714,23.5816923363388,17.1
-2.791867994848346,23.71593631317412,17.2
-2.82311223249944,23.850120744638655,17.3
-2.854509087841528,23.984245403675995,17.400000000000002
-2.886058131774888,24.118310064884923,17.5
-2.9177589343643007,24.25231450451904,17.6
-2.949611064858729,24.386258500486267,17.7
-2.981614091711002,24.52014183234826,17.8
-3.013767582597339,24.653964281319666,17.900000000000002
-3.0460711044368907,24.78772563026738,18
-3.078524223411115,24.92142566370962,18.1
-3.111126504983133,25.055064167814937,18.2
-3.143877513916941,25.18864093040112,18.3
-3.1767768142966375,25.322155740934036,18.400000000000002
-3.209823969545461,25.455608390526322,18.5
-3.2430185424448084,25.588998671935997,18.6
-3.2763600951531373,25.722326379565065,18.7
-3.309848189224823,25.855591309457864,18.8
-3.343482385628853,25.988793259299477,18.900000000000002
-3.377262244767522,26.12193202841397,19
-3.4111873264949324,26.255007417762567,19.1
-3.4452571901355284,26.388019229941705,19.200000000000003
-3.4794713945024114,26.520967269181078,19.3
-3.5138294979156512,26.653851341341497,19.400000000000002
-3.548331058220448,26.78667125391273,19.5
-3.582975632805244,26.91942681601123,19.6
-3.617762778619692,27.05211783837781,19.700000000000003
-3.6526920521925774,27.184744133375183,19.8
-3.687763009649572,27.31730551498546,19.900000000000002
-3.7229752067309647,27.44980179880755,20
-3.758328198809231,27.58223280205451,20.1
-3.793821540906542,27.714598343550772,20.200000000000003
-3.8294547877121587,27.8468982437293,20.3
-3.86522749359969,27.97913232462871,20.400000000000002
-3.9011392126442956,28.111300409890276,20.5
-3.9371894986397677,28.243402324754836,20.6
-3.9733779051155125,28.375437896059715,20.700000000000003
-4.009703985353376,28.50740695223548,20.8
-4.046167292404462,28.63930932330267,20.900000000000002
-4.082767379105739,28.77114484086843,21
-4.119503798096588,28.90291333812311,21.1
-4.156376101835271,29.034614649836744,21.200000000000003
-4.193383842615226,29.166248612355556,21.3
-4.230526572581297,29.29781506359821,21.400000000000002
-4.267803843745845,29.429313843052245,21.5
-4.305215208004711,29.560744791770226,21.6
-4.342760217153135,29.69210775236596,21.700000000000003
-4.380438422901513,29.823402569010582,21.8
-4.418249376891069,29.954629087428614,21.900000000000002
-4.45619263070936,30.085787154893953,22
-4.494267735905758,30.216876620225776,22.1
-4.532474244006721,30.347897333784438,22.200000000000003
-4.570811706531046,30.478849147467216,22.3
-4.609279675004913,30.60973191470413,22.400000000000002
-4.647877700976885,30.74054549045358,22.5
-4.686605336032748,30.871289731197983,22.6
-4.725462131810275,31.00196449493936,22.700000000000003
-4.764447640013827,31.13256964119486,22.8
-4.803561412428905,31.263105030992232,22.900000000000002
-4.8428030009364775,31.3935705268652,23
-4.882171957527312,31.523965992848886,23.1
-4.921667834316139,31.654291294475083,23.200000000000003
-4.961290183555626,31.784546298767527,23.3
-5.001038557650389,31.91473087423711,23.400000000000002
-5.040912509170752,32.04484489087706,23.5
-5.080911590866421,32.17488822015802,23.6
-5.121035355680107,32.304860735023155,23.700000000000003
-5.16128335676094,32.43476230988316,23.8
-5.201655147477815,32.56459282061129,23.900000000000002
-5.2421502814326,32.69435214453816,24
-5.282768312473266,32.82404016044684,24.1
-5.323508794706825,32.95365674856754,24.200000000000003
-5.364371282512231,33.083201790572474,24.3
-5.4053553305530855,33.212675169570694,24.400000000000002
-5.446460493790283,33.342076770102686,24.5
-5.4876863274945435,33.471406478135236,24.6
-5.529032387258745,33.600664181055905,24.700000000000003
-5.570498229010234,33.72984976766779,24.8
-5.612083409022951,33.858963128183994,24.900000000000002
-5.653787483929513,33.988004154222324,25
-5.695610010733056,34.116972738799625,25.1
-5.737550546819087,34.24586877632634,25.200000000000003
-5.779608649967159,34.37469216260103,25.3
-5.821783878362389,34.50344279480462,25.400000000000002
-5.864075790606961,34.63212057149497,25.5
-5.906483945731402,34.76072539260108,25.6
-5.949007903205832,34.889257159417475,25.700000000000003
-5.991647222951016,35.017715774598514,25.8
-6.034401465349383,35.14610114215261,25.900000000000002
-6.077270191255835,35.27441316743653,26
-6.120252962008536,35.40265175714953,26.1
-6.163349339439492,35.53081681932762,26.200000000000003
-6.2065588858851015,35.65890826333768,26.3
-6.249881164196516,35.786925999871606,26.400000000000002
-6.29331573774995,35.91486994094044,26.5
-6.33686217045679,36.04273999986843,26.6
-6.380520026773723,36.170536091287154,26.700000000000003
-6.424288871712577,36.29825813112951,26.8
-6.468168270850214,36.425906036623765,26.900000000000002
-6.5121577903382,36.553479726287605,27
-6.556256996912396,36.68097911992208,27.1
-6.600465457902445,36.808404138605574,27.200000000000003
-6.644782741241116,36.93575470468776,27.3
-6.689208415473587,37.063030741783585,27.400000000000002
-6.733742049766562,37.19023217476714,27.5
-6.7783832139173015,37.317358929765554,27.6
-6.823131478362548,37.44441093415297,27.700000000000003
-6.867986414187314,37.57138811654431,27.8
-6.912947593133566,37.6982904067892,27.900000000000002
-6.958014587608879,37.82511773596581,28
-7.00318697069482,37.951870036374764,28.1
-7.048464316155339,38.078547241532775,28.200000000000003
-7.093846198445071,38.205149286166666,28.3
